userName,score,at,content
ωoηgoρooηoηє,3,2025-06-12 03:15:22,"aplikasi bagus, gak ribet, simpel, mudah digunakan tapi sayang msh sering blank terutama kalo pagi di jam kerja dan menunggu hasilnya pun juga gak ada kepastian kapanya krn sering sangat lama bs berhari hari... istilah kayak dulu wktu mengurus offline sehari jadi sudah gak bisa lagi jadi yg buat urusan mendesak jangan harap sesuai harapan, kalo bisa satset jadilah biar semarang tambah hebatttt"
Mbhuyy,1,2025-06-11 07:39:54,burukkkkkkkkkk bgt ribet pdhl data udah komplit tapi banyak alesan di tolak terussss
Nurcahyaningsih Safitri,5,2025-06-11 05:09:55,cepat dan praktis
Sindu Aditama,1,2025-06-10 08:10:54,pengajuan surat kedatangan udh seminggu ga ada kemajuan ...
Siska Novitasari,2,2025-06-10 01:24:24,ini gimana sih mau masuk ke apl nya kok susah bgt . tlg dong
LABIB Lubab,5,2025-06-02 11:56:11,berguna bagi masa depan asyik
pemburu ikan SMG,1,2025-06-02 04:08:56,aplikasi ga guna gimna mau maju bangsa ini.. apa2 di buat ribet buka aplikasi aja lemot bangett sumpah ga berguna nie.. malah ribett buat ngurus surat2...
Rufi Luvi,5,2025-05-30 14:00:14,mudah cepat
Sisil Deden,1,2025-05-27 08:55:29,"malah makin parah di persulit mau bikin akteu ajj padahal saya sama anak saya ada hubungan darah gara"" pertama y nikah sirih padahal dinas di bayar oleh presiden untuk melayani rakyat bukan untuk mempersulit kan urusan"
Radithya,3,2025-05-27 02:47:21,"datang ke kelurahan minta pengantar perubahan KK tidak bisa karena harus diurus secara online, waktu online bingung karena tidak ada panduannya harus pilih menu yg mana dulu, setelah online diproses selama hari kerja, tapi nunggunya beberapa hari baru dapat balasan tidak bisa mendadak. mungkin adminnya perlu ditambah orang biar tidak lama memproses data yang masuk. karena kalau data ditolak pasti ngurus lagi dari awal tambah lama. menu cetak ulang KK dan akte kelahiran gak ada ya?"
Kristina Maya,1,2025-05-23 04:43:57,"Aplikasi buruk, notif ga bisa masuk, lemot, proses lama, cek status nggak update, katanya cuma 2 hari.. ditunggu smp 4 hari status nggak berubah. Status dalam proses terus,,, gak tau dahh diproses beneran apa kagak. 🤣😅 BENAR BENAR TIDAK MEMBANTU 👎👎"
Anisah aja,1,2025-05-23 01:27:38,mau tanya.. kan di pendaftaran tidak ada masukan kata sandi.. TPI kenapa waktu login harus Makai kata sandi ..kata sandinya dapat dari mana ya. bingung dengan aplikasi ini
Yusuf Sebastian,5,2025-05-22 03:51:51,bagus sangat membantu
Dafa Endhut,3,2025-05-21 12:55:43,aplikasi e koyo telek
